query_id,query,pipeline,latency_seconds,precision@10,recall@10,mrr@10,ndcg@10,hits@10,first_relevant_rank
3394,What is the easiest way to back-test index funds and ETFs?,Naive Dense RAG,0.11808100000052946,0.3,0.75,1.0,0.8318724637288826,3,1.0
3394,What is the easiest way to back-test index funds and ETFs?,Optimized Hybrid RAG,47.46964879999723,0.1,0.25,1.0,0.3903800499921017,1,1.0
5505,Can I deduct interest and fees on a loan for qualified medical expenses?,Naive Dense RAG,0.03891949999888311,0.1,1.0,1.0,1.0,1,1.0
5505,Can I deduct interest and fees on a loan for qualified medical expenses?,Optimized Hybrid RAG,133.14617329999965,0.1,1.0,1.0,1.0,1,1.0
6792,Where to find the full book of outstanding bids/asks for a stock?,Naive Dense RAG,0.29338130000178353,0.0,0.0,0.0,0.0,0,
6792,Where to find the full book of outstanding bids/asks for a stock?,Optimized Hybrid RAG,69.64179400000285,0.0,0.0,0.0,0.0,0,
6909,Why do stocks priced above $2.00 on the ASX sometimes move in $0.005 increments?,Naive Dense RAG,0.34692419999919366,0.0,0.0,0.0,0.0,0,
6909,Why do stocks priced above $2.00 on the ASX sometimes move in $0.005 increments?,Optimized Hybrid RAG,73.97163799999907,0.0,0.0,0.0,0.0,0,
4946,Something looks off about Mitsubishi financial data,Naive Dense RAG,0.044159100001706975,0.1,1.0,0.2,0.38685280723454163,1,5.0
4946,Something looks off about Mitsubishi financial data,Optimized Hybrid RAG,216.74697670000023,0.1,1.0,0.5,0.6309297535714575,1,2.0
4125,Alternative means of salary for my employees,Naive Dense RAG,0.03663290000258712,0.0,0.0,0.0,0.0,0,
4125,Alternative means of salary for my employees,Optimized Hybrid RAG,26.6203534999986,0.0,0.0,0.0,0.0,0,
6009,Why can low volume move a stock price drastically?,Naive Dense RAG,0.03362510000079055,0.0,0.0,0.0,0.0,0,
6009,Why can low volume move a stock price drastically?,Optimized Hybrid RAG,33.805372399998305,0.1,1.0,0.2,0.38685280723454163,1,5.0
9598,How do index funds actually work?,Naive Dense RAG,0.031911599999148166,0.0,0.0,0.0,0.0,0,
9598,How do index funds actually work?,Optimized Hybrid RAG,59.14494950000153,0.1,1.0,1.0,1.0,1,1.0
10645,Explain the details and benefits of rebalancing a retirement portfolio?,Naive Dense RAG,0.034551200002169935,0.1,0.5,1.0,0.6131471927654584,1,1.0
10645,Explain the details and benefits of rebalancing a retirement portfolio?,Optimized Hybrid RAG,121.97597339999993,0.2,1.0,1.0,0.8065735963827293,2,1.0
7441,"Since many brokers disallow investors from shorting sub-$5 stocks, why don't all companies split their stock until it is sub-$5",Naive Dense RAG,0.05627250000179629,0.3,1.0,0.2,0.4736200079773859,3,5.0
